POS.,#,RIDER,HOMETOWN,BIKE,QUAL,HOLESHOT,LAPS LED,FINISH,POINTS
1,51,Justin Barcia,"Greenville, FL",Yamaha YZ450F,1,-,6,1,26
2,94,Ken Roczen,"Clermont, FL",Honda CRF 450,2,-,0,2,23
3,3,Eli Tomac,"Cortez, CO",Kawasaki KX 450F,9,-,0,3,21
4,15,Dean Wilson,"Clermont, FL",Husqvarna FC450,4,X,14,4,19
5,2,Cooper Webb,"Newport, NC",KTM 450 SX-F Factory Edit,17,-,0,5,18
6,7,Aaron Plessinger,"Hamilton, OH",Yamaha YZ450F,6,-,0,6,17
7,27,Malcolm Stewart,"Haines City, FL",Honda CRF 450,3,-,0,7,16
8,25,Marvin Musquin,"Corona, CA",KTM 450 SX-F Factory Edit,11,-,0,8,15
9,22,Chad Reed,"Dade City, FL",Suzuki RM-Z450,20,-,0,9,14
10,14,Cole Seely,"Sherman Oaks, CA",Honda CRF 450,8,-,0,10,13
11,10,Justin Brayton,"Mint Hill, NC",Honda CRF 450,12,-,0,11,12
12,4,Blake Baggett,"Grand Terrace, CA",KTM 450 SX-F Factory Edit,5,-,0,12,11
13,42,Vince Friese,"Cape Girardeau, MO",Honda CRF 450,13,-,0,13,10
14,1,Jason Anderson,"Rio Rancho, NM",Husqvarna FC450,10,-,0,14,9
15,46,Justin Hill,"Yoncalla, OR",Suzuki RM-Z450,15,-,0,15,8
16,17,Joey Savatgy,"Tallahassee, FL",Kawasaki KX 450F,16,-,0,16,7
17,805,Carlen Gardner,"Paso Robles, CA",Honda CRF 450,19,-,0,17,6
18,41,Ben Lamay,"Anchorage, AK",Honda CRF 450,21,-,0,18,5
19,19,Justin Bogle,"Cushing, OK",KTM 450 SX-F Factory Edit,7,-,0,19,4
20,86,Ryan Breece,"Athol, ID",Yamaha YZ450F,18,-,0,20,3
21,43,Tyler Bowers,"Lake Elsinore, CA",Kawasaki KX 450F,14,-,0,21,2
22,11,Kyle Chisholm,"Valrico, FL",Suzuki RM-Z450,22,-,0,22,1
